key;ref;value;
title;Your customers deserve <br>the last generation of presentation;Faites profiter à vos clients <br> de la dernière génération de présentation
;;
qualitative_title;Qualitative tablets: ;Comprimés de qualité :
qualitative_part1;revised breaking; Profil de cassure réétudiéé
qualitative_part2;Better breakability;Meilleure sécabilité 
;;
optimized_title;Optimized quality: ;Conservation optimisée :
optimized_part1;new blisters with dessicant; Nouvelles plaquettes avec dessicant
optimized_part2;Maximal protection against moisture;Protection maximale contre l'humidité
optimized_particles;Dessicant particles;Particules dessicantes
optimized_alluminium;Aluminium layers;Couches d'aluminium
;;
practical_title;More practical sizes of boxes:  ;Boîtes moins larges :
practical_part1;narrower width of facing; Gain de place
;;
clearness_title;Clearness for prescription:;Simplicité de prescription :
clearness_list;new colours per strength from light to dark pink ;Dosage facilement identifiable grâce aux nouvelles couleurs, du rose pâle au rose foncé
clearness_list;blisters' texts in blue for the 62.5 mg and the 500 mg;Différenciation du texte en bleu pour les dosages 62,5 mg et 500 mg
