key;ref;value;
title;An oral solution<br>designed to support compliance;Une solution orale<br>pensée pour favoriser l'observance
bloc1_title;Compliance;Observance
bloc1_list;Easy administration once-a-day only:;Administration facile en une seule prise quotidienne :
bloc1_sub_list;Directly in the mouth;Directement dans la bouche
bloc1_sub_list;Given on food;Administré sur la nourriture
bloc2_title;Generosity;Praticité
bloc2_list;Easy galenics;Galénique simple
bloc2_list;Easy handling syringe;Seringue facile à manipuler
bloc2_list;Childproof cap;Bouchon sécurité enfants
bloc3_title;;Un flacon de 22ml permet de traiter un chat de 5 kg pendant 10 jours.
