key;ref;value;
title;To be confident<br>in your prescription;Pour avoir confiance<br>dans vos prescriptions
expertiseTitle;Expertise ;Expertise 
expertiseDesc;Vétoquinol involved in anti-infective solutions for more than <b>80 years </b>;Vétoquinol™ est engagé pour la recherche de solutions anti-infectieuses depuis plus de <b>80 ans</b>
leadershipTitle;Leadership;Leadership
leadershipDesc;<b>Number 2 in Europe</b> in antibiotics for companion animals;<b>Numéro 2 en Europe</b> des antibiotiques pour animaux de compagnie<br>PRODUCTION FRANCAISE [flag[]]<br>96,2% des ventes d'antibiotiques oraux France 2015 sont des produits fabriqués en France
solutionsTitle;Wide offer of solutions:;Large choix de solutions :
solutionsList;Oral and injectable antibiotics;Antibiotiques oraux et injectables
solutionsList;Ear topicals;Topiques auriculaires
solutionsList;Combined with unique services;Services uniques
blocLeft;Meet your needs of efficacy,<br>palatability and quality;Répondre à vos besoins d'efficacité,<br>d'appétence et de qualité
blocRight;Meet the pet owners’ needs<br>of easiness for a better compliance;Répondre aux  besoins de praticité des propriétaires<br> pour une meilleure observance
